Date,Open,High,Low,Close,Adj Close,Volume
2019-11-05,76.029999,76.029999,76.029999,76.029999,73.843178,0
2019-11-06,76.019997,76.019997,76.019997,76.019997,73.833466,0
2019-11-07,76.260002,76.260002,76.260002,76.260002,74.066566,0
2019-11-08,76.489998,76.489998,76.489998,76.489998,74.289948,0
2019-11-11,76.360001,76.360001,76.360001,76.360001,74.163689,0
2019-11-12,76.470001,76.470001,76.470001,76.470001,74.270531,0
2019-11-13,76.510002,76.510002,76.510002,76.510002,74.309372,0
2019-11-14,76.599998,76.599998,76.599998,76.599998,74.396790,0
2019-11-15,77.180000,77.180000,77.180000,77.180000,74.960106,0
2019-11-18,77.209999,77.209999,77.209999,77.209999,74.989235,0
2019-11-19,77.220001,77.220001,77.220001,77.220001,74.998955,0
2019-11-20,76.980003,76.980003,76.980003,76.980003,74.765862,0
2019-11-21,76.820000,76.820000,76.820000,76.820000,74.610458,0
2019-11-22,77.000000,77.000000,77.000000,77.000000,74.785286,0
2019-11-25,77.680000,77.680000,77.680000,77.680000,75.445717,0
2019-11-26,77.870003,77.870003,77.870003,77.870003,75.630264,0
2019-11-27,78.220001,78.220001,78.220001,78.220001,75.970192,0
2019-11-29,77.889999,77.889999,77.889999,77.889999,75.649689,0
2019-12-02,77.190002,77.190002,77.190002,77.190002,74.969826,0
2019-12-03,76.720001,76.720001,76.720001,76.720001,74.513329,0
2019-12-04,77.199997,77.199997,77.199997,77.199997,74.979523,0
2019-12-05,77.309998,77.309998,77.309998,77.309998,75.086365,0
2019-12-06,78.010002,78.010002,78.010002,78.010002,75.766228,0
2019-12-09,77.769997,77.769997,77.769997,77.769997,75.533134,0
2019-12-10,77.690002,77.690002,77.690002,77.690002,75.455444,0
2019-12-11,77.879997,77.879997,77.879997,77.879997,75.639961,0
2019-12-12,78.529999,78.529999,78.529999,78.529999,76.271278,0
2019-12-13,78.519997,78.519997,78.519997,78.519997,76.261551,0
2019-12-16,79.089996,79.089996,79.089996,79.089996,76.815170,0
2019-12-17,79.139999,79.139999,79.139999,79.139999,76.863739,0
2019-12-18,79.139999,79.139999,79.139999,79.139999,76.863739,0
2019-12-19,79.500000,79.500000,79.500000,79.500000,77.213379,0
2019-12-20,79.900002,79.900002,79.900002,79.900002,77.601883,0
2019-12-23,79.529999,79.529999,79.529999,79.529999,77.659485,0
2019-12-24,79.540001,79.540001,79.540001,79.540001,77.669250,0
2019-12-26,79.919998,79.919998,79.919998,79.919998,78.040298,0
2019-12-27,79.879997,79.879997,79.879997,79.879997,78.001236,0
2019-12-30,79.449997,79.449997,79.449997,79.449997,77.581367,0
2019-12-31,79.690002,79.690002,79.690002,79.690002,77.815720,0
2020-01-02,80.290001,80.290001,80.290001,80.290001,78.401611,0
2020-01-03,79.800003,79.800003,79.800003,79.800003,77.923134,0
2020-01-06,80.059998,80.059998,80.059998,80.059998,78.177010,0
2020-01-07,79.870003,79.870003,79.870003,79.870003,77.991486,0
2020-01-08,80.250000,80.250000,80.250000,80.250000,78.362549,0
2020-01-09,80.750000,80.750000,80.750000,80.750000,78.850792,0
2020-01-10,80.529999,80.529999,80.529999,80.529999,78.635956,0
2020-01-13,81.110001,81.110001,81.110001,81.110001,79.202332,0
2020-01-14,81.059998,81.059998,81.059998,81.059998,79.153496,0
2020-01-15,81.230003,81.230003,81.230003,81.230003,79.319504,0
2020-01-16,81.949997,81.949997,81.949997,81.949997,80.022560,0
2020-01-17,82.180000,82.180000,82.180000,82.180000,80.247154,0
2020-01-21,81.959999,81.959999,81.959999,81.959999,80.032341,0
2020-01-22,82.000000,82.000000,82.000000,82.000000,80.071396,0
2020-01-23,82.089996,82.089996,82.089996,82.089996,80.159264,0
2020-01-24,81.330002,81.330002,81.330002,81.330002,79.417145,0
2020-01-27,80.099998,80.099998,80.099998,80.099998,78.216080,0
2020-01-28,80.889999,80.889999,80.889999,80.889999,78.987495,0
2020-01-29,80.800003,80.800003,80.800003,80.800003,78.899612,0
2020-01-30,81.050003,81.050003,81.050003,81.050003,79.143738,0
